unifiedcl,rvindicator,chkey,chunifiedkey
SM,No ,51721126,96936981
SC,No ,51721126,96936982
SC,Yes,51721127,96936983
CL,No ,51721127,96936984
CL,Yes,51721128,96936985
SC,No ,51721128,96936986
CH,No ,51721128,96936987
ML,No ,51721129,96936988
SC-SM,Yes,51721129,96936989
SM,No ,51721129,96936990
SM,No ,51721160,96937068
SC-SM,Yes,51721160,96937069
SM,No ,51721161,96937070
SC-SM,Yes,51721161,96937071
SM,No ,51721162,96937072
SC-SM,Yes,51721162,96937073
SC,Yes,51721163,96937074
SC-SM,No ,51721163,96937075
SM,No ,51721163,96937076
SM,No ,51721164,96937077
SC-SM,Yes,51721164,96937078
SM,Yes,51721165,96937079
SM,Yes,51721166,96937080
SM,Yes,51721167,96937081
SP-SM,No ,51721167,96937082
SM,Yes,51721168,96937083
SM,No ,51721169,96937084
SP-SM,Yes,51721169,96937085
SP-SM,Yes,51721170,96937086
SM,No ,51721170,96937087
SM,No ,51721171,96937088
SP-SM,Yes,51721171,96937089
SM,No ,51721172,96937090
SP-SM,Yes,51721172,96937091
ML,No ,51721173,96937092
SC-SM,No ,51721173,96937093
SM,Yes,51721173,96937094
CL,No ,51721174,96937095
SC,Yes,51721174,96937096
SM,Yes,51721175,96937097
SM,No ,51721176,96937098
SP-SM,Yes,51721176,96937099
SC-SM,No ,51720999,96936728
SM,Yes,51720999,96936729
SM,Yes,51721000,96936730
SM,Yes,51721001,96936731
SC-SM,No ,51721001,96936732
SM,Yes,51721002,96936733
SC-SM,No ,51721002,96936734
SC-SM,No ,51721003,96936735
SM,Yes,51721003,96936736
SM,Yes,51721004,96936737
SM,Yes,51720965,96936653
SP-SM,No ,51720965,96936654
SC-SM,No ,51720965,96936655
SM,No ,51720966,96936656
SP-SM,Yes,51720966,96936657
CL,Yes,51720967,96936658
CL-ML,No ,51720967,96936659
SM,No ,51720968,96936660
SC-SM,Yes,51720968,96936661
SM,Yes,51720969,96936662
SM,No ,51720970,96936663
SP-SM,Yes,51720970,96936664
SP-SM,Yes,51720971,96936665
SM,No ,51720971,96936666
SM,No ,51720972,96936667
SP-SM,Yes,51720972,96936668
SM,No ,51721058,96936838
SP-SM,Yes,51721058,96936839
SM,Yes,51721059,96936840
SM,No ,51721060,96936841
SP-SM,Yes,51721060,96936842
SP-SM,Yes,51721061,96936843
SM,No ,51721061,96936844
SM,Yes,51721062,96936845
SP-SM,No ,51721062,96936846
SC-SM,No ,51721062,96936847
SM,No ,51721063,96936848
SP,No ,51721063,96936849
SP-SM,Yes,51721063,96936850
SM,Yes,51721177,96937100
SM,Yes,51721178,96937101
SM,Yes,51721179,96937102
SM,Yes,51721180,96937103
SM,Yes,51721181,96937104
SM,Yes,51721182,96937105
SM,Yes,51721183,96937106
SM,Yes,51721184,96937107
